type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,0.6400854587554932,0,4831,319
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^strasbourg$|^geneva$|^lyon$|^vienna$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:warsaw;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,5.907026529312134,14,4831,305
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^strasbourg$|^geneva$|^warsaw$|^lyon$|^vienna$|^brussels$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:zurich;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,7.83027720451355,28,4831,291
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^geneva$|^warsaw$|^lyon$|^vienna$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:strasbourg;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,7.588008403778076,42,4831,277
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^strasbourg$|^warsaw$|^lyon$|^vienna$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:geneva;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,7.224834203720093,56,4831,263
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^strasbourg$|^geneva$|^warsaw$|^lyon$|^vienna$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^london$;FinalNodeRegex:frankfurt;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,6.6625401973724365,70,4831,249
reachability,Type:reachability;IngressNodeRegex:^paris$|^milan$|^praha$|^strasbourg$|^geneva$|^warsaw$|^lyon$|^vienna$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:marseille;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,7.113616228103638,84,4831,235
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^geneva$|^strasbourg$|^warsaw$|^vienna$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:lyon;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,6.524749517440796,98,4831,221
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^strasbourg$|^geneva$|^warsaw$|^lyon$|^brussels$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:vienna;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,5.400943756103516,112,4831,207
reachability,Type:reachability;IngressNodeRegex:^paris$|^marseille$|^milan$|^praha$|^strasbourg$|^geneva$|^warsaw$|^lyon$|^vienna$|^zurich$|^amsterdam$|^bratislava$|^frankfurt$|^london$;FinalNodeRegex:brussels;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,5.969083786010742,126,4831,193
