type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,0.6757979393005371,0,5382,67
reachability,Type:reachability;IngressNodeRegex:^milan$|^brussels$|^geneva$|^frankfurt$|^paris$|^amsterdam$;FinalNodeRegex:zurich;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,12.96350622177124,6,5382,61
reachability,Type:reachability;IngressNodeRegex:^milan$|^brussels$|^zurich$|^frankfurt$|^paris$|^amsterdam$;FinalNodeRegex:geneva;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,12.869829416275024,12,5382,55
reachability,Type:reachability;IngressNodeRegex:^milan$|^brussels$|^zurich$|^geneva$|^paris$|^amsterdam$;FinalNodeRegex:frankfurt;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,8.709378004074097,18,5382,49
reachability,Type:reachability;IngressNodeRegex:^milan$|^zurich$|^geneva$|^frankfurt$|^paris$|^amsterdam$;FinalNodeRegex:brussels;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,12.157001256942749,24,5382,43
reachability,Type:reachability;IngressNodeRegex:^milan$|^brussels$|^zurich$|^geneva$|^frankfurt$|^paris$;FinalNodeRegex:amsterdam;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,15.5858895778656,30,5382,37
reachability,Type:reachability;IngressNodeRegex:^brussels$|^zurich$|^geneva$|^frankfurt$|^paris$|^amsterdam$;FinalNodeRegex:milan;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,9.844218969345093,36,5382,31
reachability,Type:reachability;IngressNodeRegex:^milan$|^brussels$|^zurich$|^geneva$|^frankfurt$|^amsterdam$;FinalNodeRegex:paris;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,6.0,,,0.0,11.724133253097534,42,5382,25
reachability,Type:reachability;IngressNodeRegex:^lisbon$|^peerstrasbourg_15$|^peerbrussels_6$|^strasbourg$|^basel$|^peeramsterdam_0$|^peerbasel_2$|^london$|^brussels$|^geneva$|^peergeneva_8$|^madrid$|^rotterdam$|^peerbrussels_5$|^luxembourg$|^paris$|^peergeneva_9$|^dublin$|^lyon$|^peerbrussels_4$|^amsterdam$|^peerbasel_3$;FinalNodeRegex:peeristanbul_10;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,22.0,"['lisbon', 'peerstrasbourg_15', 'peerbrussels_6', 'strasbourg', 'basel', 'peeramsterdam_0', 'peerbasel_2', 'london', 'brussels', 'geneva', 'peergeneva_8', 'madrid', 'rotterdam', 'peerbrussels_5', 'luxembourg', 'paris', 'peergeneva_9', 'dublin', 'lyon', 'peerbrussels_4', 'amsterdam', 'peerbasel_3']","[""('london', 'brussels')"", ""('brussels', 'amsterdam')"", ""('frankfurt', 'amsterdam')""]",22.0,2.1765317916870117,42,5404,3
reachability,Type:reachability;IngressNodeRegex:^peerbarcelona_1$|^barcelona$;FinalNodeRegex:peergeneva_9;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,2.0,"['peerbarcelona_1', 'barcelona']","[""('milan', 'vienna')"", ""('milan', 'zurich')"", ""('zurich', 'geneva')""]",2.0,9.76893424987793,42,5406,1
reachability,Type:reachability;IngressNodeRegex:^rotterdam$;FinalNodeRegex:peergeneva_8;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,1.0,['rotterdam'],"[""('brussels', 'amsterdam')"", ""('brussels', 'frankfurt')"", ""('geneva', 'paris')""]",1.0,3.352170467376709,42,5407,0
