type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,0.17638254165649414,0,659,1320
reachability,Type:reachability;IngressNodeRegex:^roma$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^zurich$|^praha$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^lyon$|^marseille$|^milan$|^basel$|^rotterdam$;FinalNodeRegex:warsaw;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.1169509887695312,26,659,1294
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^madrid$|^zurich$|^praha$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^marseille$|^milan$|^basel$|^lyon$|^rotterdam$;FinalNodeRegex:amsterdam;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.0764083862304688,52,659,1268
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^zurich$|^praha$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^milan$|^marseille$|^basel$|^lyon$|^rotterdam$;FinalNodeRegex:london;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.0700898170471191,78,659,1242
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^zurich$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^lyon$|^milan$|^marseille$|^basel$|^rotterdam$;FinalNodeRegex:praha;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,0.9199621677398682,104,659,1216
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^praha$|^zurich$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^marseille$|^basel$|^lyon$|^rotterdam$;FinalNodeRegex:milan;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.1409220695495605,130,659,1190
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^zurich$|^praha$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^lyon$|^milan$|^marseille$|^basel$|^rotterdam$;FinalNodeRegex:sofia;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.0605864524841309,156,659,1164
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^praha$|^zurich$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^lyon$|^milan$|^marseille$|^basel$|^rotterdam$;FinalNodeRegex:madrid;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.0854465961456299,182,659,1138
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^praha$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^lyon$|^milan$|^marseille$|^basel$|^rotterdam$;FinalNodeRegex:zurich;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.5966060161590576,208,659,1112
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^praha$|^zurich$|^frankfurt$|^paris$|^bratislava$|^athens$|^lyon$|^milan$|^marseille$|^basel$|^rotterdam$;FinalNodeRegex:bucharest;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.1628930568695068,234,659,1086
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^zurich$|^praha$|^bucharest$|^paris$|^bratislava$|^athens$|^lyon$|^marseille$|^milan$|^basel$|^rotterdam$;FinalNodeRegex:frankfurt;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.586700677871704,260,659,1060
reachability,Type:reachability;IngressNodeRegex:^roma$|^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^praha$|^zurich$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^milan$|^basel$|^lyon$|^rotterdam$;FinalNodeRegex:marseille;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,1.1282577514648438,286,659,1034
reachability,Type:reachability;IngressNodeRegex:^warsaw$|^kiev$|^budapest$|^sofia$|^london$|^strasbourg$|^barcelona$|^luxembourg$|^vienna$|^geneva$|^istanbul$|^brussels$|^amsterdam$|^madrid$|^praha$|^zurich$|^frankfurt$|^bucharest$|^paris$|^bratislava$|^athens$|^milan$|^marseille$|^basel$|^lyon$|^rotterdam$;FinalNodeRegex:roma;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:1;Environment:;,correct,26.0,,,0.0,0.9851160049438477,312,659,1008
