type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,3.275707960128784,0,26638,66
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid59$|^nodeid44$|^nodeid1$;FinalNodeRegex:nodeid45;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,118.75945281982422,4,26638,62
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid59$|^nodeid45$|^nodeid1$;FinalNodeRegex:nodeid44;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,111.85147905349731,8,26638,58
reachability,Type:reachability;IngressNodeRegex:^nodeid59$|^nodeid44$|^nodeid45$|^nodeid1$;FinalNodeRegex:nodeid31;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,141.84771537780762,12,26638,54
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid59$|^nodeid44$|^nodeid45$;FinalNodeRegex:nodeid1;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,85.33707332611084,16,26638,50
reachability,Type:reachability;IngressNodeRegex:^nodeid31$|^nodeid44$|^nodeid45$|^nodeid1$;FinalNodeRegex:nodeid59;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,4.0,,,0.0,145.02823138237,20,26638,46
reachability,Type:reachability;IngressNodeRegex:^nodeid0$;FinalNodeRegex:peerpanama_12;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,1.0,['nodeid0'],"[""('usa', 'nodeid33')"", ""('nodeid56', 'puertottrico')"", ""('columbia', 'nodeid1')""]",1.0,7.054672718048096,20,26639,45
reachability,Type:reachability;IngressNodeRegex:^nodeid39$|^peerpanama_12$|^panama$|^venezuela$|^peernodeid39_7$;FinalNodeRegex:peernodeid45_9;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,5.0,"['nodeid39', 'peerpanama_12', 'panama', 'venezuela', 'peernodeid39_7']","[""('nodeid56', 'dominicanttrepublic')"", ""('nodeid33', 'nodeid45')"", ""('nodeid49', 'nodeid45')""]",5.0,8.899479866027832,20,26644,40
waypoint,Type:waypoint;IngressNodeRegex:^nodeid44$|^nodeid31$|^nodeid59$|^nodeid1$;FinalNodeRegex:nodeid45;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid45;,correct,4.0,,,0.0,179.33066320419312,24,26644,36
waypoint,Type:waypoint;IngressNodeRegex:^nodeid1$;FinalNodeRegex:nodeid45;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid33;,wrong,1.0,['nodeid1'],"[""('nodeid31', 'nodeid49')"", ""('nodeid31', 'nodeid44')"", ""('columbia', 'nodeid1')""]",1.0,8.482702255249023,24,26645,35
