type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,1.623689889907837,0,12749,587
reachability,Type:reachability;IngressNodeRegex:^nodeid22$|^puertorico$|^stmartin$|^nodeid50$|^stcroix$|^curacao$;FinalNodeRegex:nodeid8;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,6.0,,,0.0,11.219071865081787,6,12749,581
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid67$|^costarica$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid44$|^nodeid9$;FinalNodeRegex:nodeid49;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,10.848501682281494,20,12749,567
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid49$|^nodeid67$|^costarica$|^nodeid59$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid9$|^nodeid44$;FinalNodeRegex:nodeid27;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,18.04726529121399,34,12749,553
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid49$|^nodeid67$|^costarica$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid9$|^nodeid44$;FinalNodeRegex:nodeid29;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,18.549814224243164,48,12749,539
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid67$|^nodeid49$|^costarica$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid9$;FinalNodeRegex:nodeid44;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,16.43524479866028,62,12749,525
reachability,Type:reachability;IngressNodeRegex:^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid67$|^nodeid49$|^costarica$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid9$|^nodeid44$;FinalNodeRegex:nodeid45;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,11.337780714035034,76,12749,511
reachability,Type:reachability;IngressNodeRegex:^nodeid22$|^puertorico$|^nodeid8$|^nodeid50$|^stcroix$|^curacao$;FinalNodeRegex:stmartin;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,6.0,,,0.0,10.2009596824646,82,12749,505
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid49$|^costarica$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid9$|^nodeid44$;FinalNodeRegex:nodeid67;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,16.400062561035156,96,12749,491
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid49$|^nodeid67$|^costarica$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid9$|^nodeid44$;FinalNodeRegex:nodeid1;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,10.680265426635742,110,12749,477
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid49$|^nodeid67$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid44$|^nodeid9$;FinalNodeRegex:costarica;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,16.084919929504395,124,12749,463
reachability,Type:reachability;IngressNodeRegex:^nodeid22$|^puertorico$|^stmartin$|^nodeid8$|^stcroix$|^curacao$;FinalNodeRegex:nodeid50;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,6.0,,,0.0,8.247461318969727,130,12749,457
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid67$|^nodeid49$|^costarica$|^nodeid59$|^nodeid27$|^nodeid31$|^nodeid1$|^nodeid9$|^nodeid44$;FinalNodeRegex:dominicanrepublic;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,13.121445417404175,144,12749,443
reachability,Type:reachability;IngressNodeRegex:^nodeid45$|^nodeid33$|^panama$|^nodeid38$|^nodeid29$|^nodeid49$|^nodeid67$|^costarica$|^nodeid59$|^nodeid27$|^dominicanrepublic$|^nodeid31$|^nodeid1$|^nodeid44$;FinalNodeRegex:nodeid9;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,14.0,,,0.0,13.237128734588623,158,12749,429
reachability,Type:reachability;IngressNodeRegex:^stkittsnevis$;FinalNodeRegex:dominica;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,1.0,,,0.0,9.186707973480225,159,12749,428
