type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,11.901739120483398,0,103092,32
reachability,Type:reachability;IngressNodeRegex:^columbia$|^yemassee$;FinalNodeRegex:augusta;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,2.0,,,0.0,385.15973234176636,2,103092,30
reachability,Type:reachability;IngressNodeRegex:^augusta$|^columbia$;FinalNodeRegex:yemassee;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,2.0,,,0.0,363.1937334537506,4,103092,28
reachability,Type:reachability;IngressNodeRegex:^augusta$|^yemassee$;FinalNodeRegex:columbia;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;,correct,2.0,,,0.0,570.7591328620911,6,103092,26
reachability,Type:reachability;IngressNodeRegex:^walterboro$;FinalNodeRegex:peernodeid86_14;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,1.0,['walterboro'],"[""('nodeid86', 'savannah')"", ""('nodeid86', 'augusta')"", ""('florence', 'myrtlettbeach')""]",1.0,125.53743624687195,6,103093,25
reachability,Type:reachability;IngressNodeRegex:^kernersville$;FinalNodeRegex:peerchristiansburg_5;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,1.0,['kernersville'],"[""('atlanta', 'athens')"", ""('augusta', 'aiken')"", ""('adel', 'vadosta')""]",1.0,54.175304651260376,6,103094,24
reachability,Type:reachability;IngressNodeRegex:^georgetown$;FinalNodeRegex:peerchester_4;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,1.0,['georgetown'],"[""('greenville', 'clemson')"", ""('rocktthill', 'chester')"", ""('lexingtonid33', 'salisbury')""]",1.0,61.82580852508545,6,103095,23
reachability,Type:reachability;IngressNodeRegex:^leesburg$|^chamersburg$|^nodeid78$|^carlisle$|^staunton$|^warrenton$|^herndon$|^waynesboro$|^lexington$|^martinsburg$|^edinburg$|^blacksburg$|^nodeid79$|^gettysburg$|^ashburn$|^harrisonburg$|^winchester$|^hagerstown$|^troutville$|^frontttroyal$|^stephensttcity$;FinalNodeRegex:peerandrews_1;FinalIfaceRegex:LongReachEthernet0;Negate:True;MaxFailures:3;Environment:;,wrong,21.0,"['leesburg', 'chamersburg', 'nodeid78', 'carlisle', 'staunton', 'warrenton', 'herndon', 'waynesboro', 'lexington', 'martinsburg', 'edinburg', 'blacksburg', 'nodeid79', 'gettysburg', 'ashburn', 'harrisonburg', 'winchester', 'hagerstown', 'troutville', 'frontttroyal', 'stephensttcity']","[""('andrews', 'brysonttcity')"", ""('greenville', 'spartanburg')"", ""('charlotte', 'spartanburg')""]",21.0,92.43787932395935,6,103116,2
waypoint,Type:waypoint;IngressNodeRegex:^columbia$;FinalNodeRegex:yemassee;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid85;,wrong,1.0,['columbia'],"[""('walterboro', 'yemassee')"", ""('greensboro', 'nodeid84')"", ""('florence', 'myrtlettbeach')""]",1.0,84.12008786201477,6,103117,1
waypoint,Type:waypoint;IngressNodeRegex:^yemassee$;FinalNodeRegex:columbia;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:3;Environment:;Waypoints:nodeid85;,wrong,1.0,['yemassee'],"[""('easley', 'greenville')"", ""('charlotte', 'spartanburg')"", ""('columbia', 'nodeid85')""]",1.0,83.94785284996033,6,103118,0
