type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
reachability,Type:reachability;IngressNodeRegex:^greensboro$|^edinburg$|^florence$|^gettysburg$|^peerchester_4$|^asheville$|^peerblairsville_2$|^peerlevelttcross_10$|^fortttmyers$|^cherokee$|^columbus$|^peerblitchton_3$|^blitchton$|^copperhill$|^tallahassee$|^rentz$|^savannah$|^greenwood$|^kingsport$|^charlotte$|^peerkingsport_9$|^birmingham$|^sparta$|^ellijay$|^darien$|^myrtlettbeach$|^rockyttmount$|^martinsburg$|^nodeid85$|^hickory$|^hinesville$|^peerfayetteville_7$|^atlanta$|^levelttcross$|^peeralbany_0$|^abingdon$|^jacksonvilleid5$|^peerchristiansburg_5$|^peerandrews_1$|^adel$|^hiltontthead$|^winterttpark$|^lexington$|^spartanburg$|^anderson$|^charlestonid102$|^hayesville$|^leesburgid143$|^staunton$|^charlottesville$|^rocktthill$|^peerjacksonvilleid5_8$|^montgomery$|^dothan$|^salisbury$|^blacksburg$|^vadosta$|^canton$|^easley$|^metter$|^hawkinsville$|^peernodeid82_11$|^georgetown$|^tifton$|^ringgold$|^bland$|^wilmington$|^baldwin$|^aiken$|^peerdouglas_6$|^newttbern$|^leslie$|^athens$|^nodeid79$|^boone$|^albany$|^radford$|^herndon$|^blountstown$|^kernersville$|^columbia$|^calhoun$|^nodeid84$|^beaufort$|^yemassee$|^danville$|^waynesboro$|^ashburn$|^peernodeid86_13$|^christiansburg$|^franklin$|^cartersville$|^courtney$|^hartwell$|^abbeville$|^murphy$|^omega$|^lynchburg$|^lexingtonid33$|^douglas$|^burlington$|^waycross$|^bethune$|^mobile$|^stephensttcity$|^hiawassee$|^clemson$|^blueridge$|^ashland$|^peertoccoa_15$|^pembroke$|^nodeid86$|^nodeid78$|^macon$|^monksttcorner$|^concord$|^youngttharris$|^hickorytttavern$|^peernodeid86_14$|^warrenton$|^kershaw$|^willacoochee$|^martinsville$|^nodeid82$|^johnsonttcity$|^lancaster$|^panamattcity$|^sylva$|^kinston$|^carlisle$|^chester$|^winchester$|^wytheville$|^toccoa$|^maitland$|^nahunta$|^raleigh$|^bluefield$|^harrisonburg$|^jacksonville$|^crestview$|^warwick$|^roanoke$|^ocala$|^chattanooga$|^fayetteville$|^tarttheel$|^chamersburg$|^rockyttmountid11$|^peernodeid85_12$|^greenvilleid16$|^lakettcity$|^andrews$|^leesburg$|^troutville$|^brysonttcity$|^sumter$|^frontttroyal$|^highttpoint$|^durham$|^augusta$|^marion$|^dalton$|^greenville$|^orangeburg$|^hagerstown$|^walterboro$|^avonttpark$|^maretta$|^charleston$|^pensacola$|^blairsville$|^huntington$;FinalNodeRegex:bristol;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,173,"['greensboro', 'edinburg', 'florence', 'gettysburg', 'peerchester_4', 'asheville', 'peerblairsville_2', 'peerlevelttcross_10', 'fortttmyers', 'cherokee', 'columbus', 'peerblitchton_3', 'blitchton', 'copperhill', 'tallahassee', 'rentz', 'savannah', 'greenwood', 'charlotte', 'birmingham', 'sparta', 'ellijay', 'darien', 'myrtlettbeach', 'rockyttmount', 'martinsburg', 'nodeid85', 'hickory', 'hinesville', 'peerfayetteville_7', 'atlanta', 'levelttcross', 'peeralbany_0', 'jacksonvilleid5', 'peerchristiansburg_5', 'peerandrews_1', 'adel', 'hiltontthead', 'winterttpark', 'lexington', 'spartanburg', 'anderson', 'charlestonid102', 'hayesville', 'leesburgid143', 'staunton', 'charlottesville', 'rocktthill', 'peerjacksonvilleid5_8', 'montgomery', 'dothan', 'salisbury', 'blacksburg', 'vadosta', 'canton', 'easley', 'metter', 'hawkinsville', 'peernodeid82_11', 'georgetown', 'tifton', 'ringgold', 'bland', 'wilmington', 'baldwin', 'aiken', 'peerdouglas_6', 'newttbern', 'leslie', 'athens', 'nodeid79', 'boone', 'albany', 'radford', 'herndon', 'blountstown', 'kernersville', 'columbia', 'calhoun', 'nodeid84', 'beaufort', 'yemassee', 'danville', 'waynesboro', 'ashburn', 'peernodeid86_13', 'christiansburg', 'franklin', 'cartersville', 'courtney', 'hartwell', 'abbeville', 'murphy', 'omega', 'lynchburg', 'lexingtonid33', 'douglas', 'burlington', 'waycross', 'bethune', 'mobile', 'stephensttcity', 'hiawassee', 'clemson', 'blueridge', 'ashland', 'peertoccoa_15', 'pembroke', 'nodeid86', 'nodeid78', 'macon', 'monksttcorner', 'concord', 'youngttharris', 'hickorytttavern', 'peernodeid86_14', 'warrenton', 'kershaw', 'willacoochee', 'martinsville', 'nodeid82', 'lancaster', 'panamattcity', 'sylva', 'kinston', 'carlisle', 'chester', 'winchester', 'wytheville', 'toccoa', 'maitland', 'nahunta', 'raleigh', 'bluefield', 'harrisonburg', 'jacksonville', 'crestview', 'warwick', 'roanoke', 'ocala', 'chattanooga', 'fayetteville', 'tarttheel', 'chamersburg', 'rockyttmountid11', 'peernodeid85_12', 'greenvilleid16', 'lakettcity', 'andrews', 'leesburg', 'troutville', 'brysonttcity', 'sumter', 'frontttroyal', 'highttpoint', 'durham', 'augusta', 'dalton', 'greenville', 'orangeburg', 'hagerstown', 'walterboro', 'avonttpark', 'maretta', 'charleston', 'pensacola', 'blairsville', 'huntington']","[""('staunton', 'waynesboro')"", ""('wytheville', 'marion')""]",168,32.48791790008545,0,168,166035
reachability,Type:reachability;IngressNodeRegex:^kingsport$|^peerkingsport_9$|^abingdon$|^johnsonttcity$|^marion$;FinalNodeRegex:bristol;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,5,['marion'],"[""('abingdon', 'marion')"", ""('herndon', 'leesburg')""]",1,16.812644958496094,0,169,166034
reachability,Type:reachability;IngressNodeRegex:^kingsport$|^peerkingsport_9$|^abingdon$|^johnsonttcity$;FinalNodeRegex:bristol;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,4,['abingdon'],"[""('tallahassee', 'lakettcity')"", ""('abingdon', 'bristol')""]",1,17.999572277069092,0,170,166033
reachability,Type:reachability;IngressNodeRegex:^kingsport$|^peerkingsport_9$|^johnsonttcity$;FinalNodeRegex:bristol;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,3,['peerkingsport_9'],"[""('kingsport', 'peerkingsport_9')"", ""('wytheville', 'marion')""]",1,24.957417249679565,0,171,166032
reachability,Type:reachability;IngressNodeRegex:^kingsport$|^johnsonttcity$;FinalNodeRegex:bristol;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,2,['kingsport'],"[""('kingsport', 'bristol')"", ""('kingsport', 'johnsonttcity')""]",1,95.45004510879517,0,172,166031
reachability,Type:reachability;IngressNodeRegex:^johnsonttcity$;FinalNodeRegex:bristol;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,1,['johnsonttcity'],"[""('kingsport', 'bristol')"", ""('bristol', 'johnsonttcity')""]",1,82.17084074020386,0,173,166030
reachability,Type:reachability;IngressNodeRegex:^greensboro$|^edinburg$|^florence$|^gettysburg$|^peerchester_4$|^asheville$|^peerblairsville_2$|^peerlevelttcross_10$|^fortttmyers$|^cherokee$|^columbus$|^peerblitchton_3$|^blitchton$|^copperhill$|^tallahassee$|^savannah$|^rentz$|^greenwood$|^kingsport$|^charlotte$|^peerkingsport_9$|^birmingham$|^sparta$|^ellijay$|^darien$|^myrtlettbeach$|^rockyttmount$|^martinsburg$|^nodeid85$|^hickory$|^hinesville$|^peerfayetteville_7$|^atlanta$|^levelttcross$|^peeralbany_0$|^abingdon$|^jacksonvilleid5$|^peerchristiansburg_5$|^peerandrews_1$|^adel$|^hiltontthead$|^winterttpark$|^lexington$|^spartanburg$|^anderson$|^charlestonid102$|^hayesville$|^leesburgid143$|^staunton$|^charlottesville$|^rocktthill$|^peerjacksonvilleid5_8$|^montgomery$|^dothan$|^salisbury$|^blacksburg$|^vadosta$|^canton$|^easley$|^metter$|^hawkinsville$|^peernodeid82_11$|^georgetown$|^tifton$|^ringgold$|^bland$|^wilmington$|^baldwin$|^aiken$|^peerdouglas_6$|^newttbern$|^leslie$|^athens$|^nodeid79$|^albany$|^radford$|^boone$|^herndon$|^blountstown$|^kernersville$|^columbia$|^calhoun$|^nodeid84$|^beaufort$|^yemassee$|^danville$|^waynesboro$|^ashburn$|^christiansburg$|^franklin$|^cartersville$|^hartwell$|^courtney$|^abbeville$|^murphy$|^omega$|^lynchburg$|^lexingtonid33$|^douglas$|^burlington$|^waycross$|^bethune$|^mobile$|^stephensttcity$|^hiawassee$|^clemson$|^blueridge$|^ashland$|^peertoccoa_15$|^pembroke$|^nodeid86$|^nodeid78$|^macon$|^monksttcorner$|^concord$|^youngttharris$|^bristol$|^hickorytttavern$|^peernodeid86_14$|^warrenton$|^kershaw$|^willacoochee$|^martinsville$|^nodeid82$|^johnsonttcity$|^lancaster$|^panamattcity$|^sylva$|^kinston$|^carlisle$|^chester$|^winchester$|^wytheville$|^toccoa$|^maitland$|^nahunta$|^raleigh$|^bluefield$|^harrisonburg$|^jacksonville$|^crestview$|^warwick$|^roanoke$|^ocala$|^chattanooga$|^fayetteville$|^tarttheel$|^chamersburg$|^rockyttmountid11$|^peernodeid85_12$|^greenvilleid16$|^lakettcity$|^andrews$|^leesburg$|^troutville$|^brysonttcity$|^sumter$|^frontttroyal$|^highttpoint$|^durham$|^augusta$|^marion$|^dalton$|^greenville$|^orangeburg$|^hagerstown$|^walterboro$|^avonttpark$|^maretta$|^charleston$|^pensacola$|^blairsville$|^huntington$;FinalNodeRegex:peernodeid86_13;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,173,"['greensboro', 'edinburg', 'florence', 'gettysburg', 'peerchester_4', 'asheville', 'peerblairsville_2', 'peerlevelttcross_10', 'fortttmyers', 'cherokee', 'columbus', 'peerblitchton_3', 'blitchton', 'copperhill', 'tallahassee', 'savannah', 'rentz', 'greenwood', 'kingsport', 'charlotte', 'peerkingsport_9', 'birmingham', 'sparta', 'ellijay', 'darien', 'myrtlettbeach', 'rockyttmount', 'martinsburg', 'nodeid85', 'hickory', 'hinesville', 'peerfayetteville_7', 'atlanta', 'levelttcross', 'peeralbany_0', 'abingdon', 'jacksonvilleid5', 'peerchristiansburg_5', 'peerandrews_1', 'adel', 'hiltontthead', 'winterttpark', 'lexington', 'spartanburg', 'anderson', 'charlestonid102', 'hayesville', 'leesburgid143', 'staunton', 'charlottesville', 'rocktthill', 'peerjacksonvilleid5_8', 'montgomery', 'dothan', 'salisbury', 'blacksburg', 'vadosta', 'canton', 'easley', 'metter', 'hawkinsville', 'peernodeid82_11', 'georgetown', 'tifton', 'ringgold', 'bland', 'wilmington', 'baldwin', 'aiken', 'peerdouglas_6', 'newttbern', 'leslie', 'athens', 'nodeid79', 'albany', 'radford', 'boone', 'herndon', 'blountstown', 'kernersville', 'columbia', 'calhoun', 'nodeid84', 'beaufort', 'yemassee', 'danville', 'waynesboro', 'ashburn', 'christiansburg', 'franklin', 'cartersville', 'hartwell', 'courtney', 'abbeville', 'murphy', 'omega', 'lynchburg', 'lexingtonid33', 'douglas', 'burlington', 'waycross', 'bethune', 'mobile', 'stephensttcity', 'hiawassee', 'clemson', 'blueridge', 'ashland', 'peertoccoa_15', 'pembroke', 'nodeid86', 'nodeid78', 'macon', 'monksttcorner', 'concord', 'youngttharris', 'bristol', 'hickorytttavern', 'peernodeid86_14', 'warrenton', 'kershaw', 'willacoochee', 'martinsville', 'nodeid82', 'johnsonttcity', 'lancaster', 'panamattcity', 'sylva', 'kinston', 'carlisle', 'chester', 'winchester', 'wytheville', 'toccoa', 'maitland', 'nahunta', 'raleigh', 'bluefield', 'harrisonburg', 'jacksonville', 'crestview', 'warwick', 'roanoke', 'ocala', 'chattanooga', 'fayetteville', 'tarttheel', 'chamersburg', 'rockyttmountid11', 'peernodeid85_12', 'greenvilleid16', 'lakettcity', 'andrews', 'leesburg', 'troutville', 'brysonttcity', 'sumter', 'frontttroyal', 'highttpoint', 'durham', 'augusta', 'marion', 'dalton', 'greenville', 'orangeburg', 'hagerstown', 'walterboro', 'avonttpark', 'maretta', 'charleston', 'pensacola', 'blairsville', 'huntington']","[""('columbia', 'augusta')"", ""('peernodeid86_13', 'nodeid86')""]",173,14.863758563995361,0,346,165857
reachability,Type:reachability;IngressNodeRegex:^greensboro$|^edinburg$|^florence$|^gettysburg$|^peerchester_4$|^asheville$|^peerblairsville_2$|^peerlevelttcross_10$|^fortttmyers$|^cherokee$|^columbus$|^peerblitchton_3$|^blitchton$|^copperhill$|^tallahassee$|^rentz$|^savannah$|^greenwood$|^kingsport$|^charlotte$|^peerkingsport_9$|^birmingham$|^sparta$|^ellijay$|^darien$|^myrtlettbeach$|^rockyttmount$|^martinsburg$|^nodeid85$|^hickory$|^hinesville$|^peerfayetteville_7$|^atlanta$|^levelttcross$|^peeralbany_0$|^abingdon$|^jacksonvilleid5$|^peerchristiansburg_5$|^peerandrews_1$|^adel$|^hiltontthead$|^winterttpark$|^lexington$|^spartanburg$|^anderson$|^charlestonid102$|^hayesville$|^leesburgid143$|^staunton$|^charlottesville$|^rocktthill$|^peerjacksonvilleid5_8$|^montgomery$|^dothan$|^blacksburg$|^salisbury$|^vadosta$|^canton$|^easley$|^metter$|^hawkinsville$|^peernodeid82_11$|^georgetown$|^tifton$|^ringgold$|^bland$|^wilmington$|^baldwin$|^aiken$|^peerdouglas_6$|^newttbern$|^leslie$|^athens$|^nodeid79$|^albany$|^boone$|^radford$|^herndon$|^blountstown$|^kernersville$|^columbia$|^calhoun$|^nodeid84$|^beaufort$|^yemassee$|^danville$|^waynesboro$|^ashburn$|^peernodeid86_13$|^christiansburg$|^franklin$|^cartersville$|^hartwell$|^courtney$|^abbeville$|^murphy$|^omega$|^lynchburg$|^lexingtonid33$|^douglas$|^burlington$|^waycross$|^bethune$|^mobile$|^stephensttcity$|^hiawassee$|^clemson$|^blueridge$|^ashland$|^peertoccoa_15$|^pembroke$|^nodeid86$|^nodeid78$|^macon$|^monksttcorner$|^concord$|^youngttharris$|^bristol$|^hickorytttavern$|^peernodeid86_14$|^warrenton$|^kershaw$|^willacoochee$|^martinsville$|^nodeid82$|^johnsonttcity$|^lancaster$|^panamattcity$|^sylva$|^kinston$|^carlisle$|^chester$|^winchester$|^wytheville$|^toccoa$|^maitland$|^nahunta$|^raleigh$|^bluefield$|^harrisonburg$|^jacksonville$|^crestview$|^warwick$|^roanoke$|^ocala$|^chattanooga$|^fayetteville$|^tarttheel$|^chamersburg$|^rockyttmountid11$|^peernodeid85_12$|^greenvilleid16$|^lakettcity$|^andrews$|^leesburg$|^troutville$|^brysonttcity$|^sumter$|^frontttroyal$|^highttpoint$|^durham$|^augusta$|^marion$|^dalton$|^greenville$|^orangeburg$|^hagerstown$|^walterboro$|^avonttpark$|^maretta$|^pensacola$|^blairsville$|^huntington$;FinalNodeRegex:charleston;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,173,"['greensboro', 'edinburg', 'florence', 'gettysburg', 'peerchester_4', 'asheville', 'peerblairsville_2', 'peerlevelttcross_10', 'fortttmyers', 'cherokee', 'columbus', 'peerblitchton_3', 'blitchton', 'copperhill', 'tallahassee', 'rentz', 'savannah', 'greenwood', 'kingsport', 'charlotte', 'peerkingsport_9', 'birmingham', 'sparta', 'ellijay', 'darien', 'myrtlettbeach', 'rockyttmount', 'martinsburg', 'nodeid85', 'hickory', 'hinesville', 'peerfayetteville_7', 'atlanta', 'levelttcross', 'peeralbany_0', 'abingdon', 'jacksonvilleid5', 'peerchristiansburg_5', 'peerandrews_1', 'adel', 'hiltontthead', 'winterttpark', 'lexington', 'spartanburg', 'anderson', 'charlestonid102', 'hayesville', 'leesburgid143', 'staunton', 'charlottesville', 'rocktthill', 'peerjacksonvilleid5_8', 'montgomery', 'dothan', 'blacksburg', 'salisbury', 'vadosta', 'canton', 'easley', 'metter', 'hawkinsville', 'peernodeid82_11', 'georgetown', 'tifton', 'ringgold', 'bland', 'wilmington', 'baldwin', 'aiken', 'peerdouglas_6', 'newttbern', 'leslie', 'athens', 'nodeid79', 'albany', 'boone', 'radford', 'herndon', 'blountstown', 'kernersville', 'columbia', 'calhoun', 'nodeid84', 'beaufort', 'yemassee', 'danville', 'waynesboro', 'ashburn', 'peernodeid86_13', 'christiansburg', 'franklin', 'cartersville', 'hartwell', 'courtney', 'abbeville', 'murphy', 'omega', 'lynchburg', 'lexingtonid33', 'douglas', 'burlington', 'waycross', 'bethune', 'mobile', 'stephensttcity', 'hiawassee', 'clemson', 'blueridge', 'peertoccoa_15', 'pembroke', 'nodeid86', 'nodeid78', 'macon', 'monksttcorner', 'concord', 'youngttharris', 'bristol', 'hickorytttavern', 'peernodeid86_14', 'warrenton', 'kershaw', 'willacoochee', 'martinsville', 'nodeid82', 'johnsonttcity', 'lancaster', 'panamattcity', 'sylva', 'kinston', 'carlisle', 'chester', 'winchester', 'wytheville', 'toccoa', 'maitland', 'nahunta', 'raleigh', 'bluefield', 'harrisonburg', 'jacksonville', 'crestview', 'warwick', 'roanoke', 'ocala', 'chattanooga', 'fayetteville', 'tarttheel', 'chamersburg', 'rockyttmountid11', 'peernodeid85_12', 'greenvilleid16', 'lakettcity', 'andrews', 'leesburg', 'troutville', 'brysonttcity', 'sumter', 'frontttroyal', 'highttpoint', 'durham', 'augusta', 'marion', 'dalton', 'greenville', 'orangeburg', 'hagerstown', 'walterboro', 'avonttpark', 'maretta', 'pensacola', 'blairsville']","[""('lynchburg', 'roanoke')"", ""('roanoke', 'charleston')""]",171,19.448100566864014,0,517,165686
reachability,Type:reachability;IngressNodeRegex:^ashland$|^huntington$;FinalNodeRegex:charleston;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,2,['ashland'],"[""('ashland', 'huntington')"", ""('roanoke', 'charleston')""]",1,18.009162425994873,0,518,165685
reachability,Type:reachability;IngressNodeRegex:^huntington$;FinalNodeRegex:charleston;FinalIfaceRegex:GigabitEthernet0/0;Negate:False;MaxFailures:2;Environment:;,wrong,1,['huntington'],"[""('roanoke', 'charleston')"", ""('charleston', 'huntington')""]",1,36.468313694000244,0,519,165684
