type,query,result,source_num,count-example,down_links,count-example-num,time,holds_policies,holds_not_policies,unknown_policies
trim,,,,,,,10.47873854637146,0,93021,1332
reachability,Type:reachability;IngressNodeRegex:^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^columbia$|^tallahassee$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:rockhill;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,73.40800499916077,21,93021,1311
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$;FinalNodeRegex:panamacity;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,80.65364646911621,42,93021,1290
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:raleigh;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,76.95505881309509,63,93021,1269
reachability,Type:reachability;IngressNodeRegex:^youngharris$;FinalNodeRegex:andrews;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,1.0,,,0.0,52.70081830024719,64,93021,1268
reachability,Type:reachability;IngressNodeRegex:^troutville$|^danville$|^roanoke$|^waynesboro$|^lynchburg$;FinalNodeRegex:staunton;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,5.0,,,0.0,74.04440808296204,69,93021,1263
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:rockymountid11;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,66.09463667869568,90,93021,1242
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^nodeid86$|^panamacity$;FinalNodeRegex:hawkinsville;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,89.60830640792847,111,93021,1221
reachability,Type:reachability;IngressNodeRegex:^troutville$|^roanoke$|^waynesboro$|^staunton$|^lynchburg$;FinalNodeRegex:danville;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,5.0,,,0.0,56.338210105895996,116,93021,1216
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:columbia;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,55.601706743240356,137,93021,1195
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:florence;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,71.66614532470703,158,93021,1174
reachability,Type:reachability;IngressNodeRegex:^lexingtonid33$|^sparta$;FinalNodeRegex:greensboro;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,2.0,,,0.0,60.62097215652466,160,93021,1172
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:fayetteville;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,95.15782594680786,181,93021,1151
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:macon;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,69.11164951324463,202,93021,1130
reachability,Type:reachability;IngressNodeRegex:^greensboro$|^sparta$;FinalNodeRegex:lexingtonid33;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,2.0,,,0.0,63.13921666145325,204,93021,1128
reachability,Type:reachability;IngressNodeRegex:^clemson$|^spartanburg$;FinalNodeRegex:greenville;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,2.0,,,0.0,59.92225384712219,206,93021,1126
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:chester;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,67.93608951568604,227,93021,1105
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:nahunta;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,82.86903619766235,248,93021,1084
reachability,Type:reachability;IngressNodeRegex:^nodeid84$;FinalNodeRegex:highpoint;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,1.0,,,0.0,45.43736219406128,249,93021,1083
reachability,Type:reachability;IngressNodeRegex:^troutville$|^danville$|^roanoke$|^waynesboro$|^staunton$;FinalNodeRegex:lynchburg;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,5.0,,,0.0,48.44410300254822,254,93021,1078
reachability,Type:reachability;IngressNodeRegex:^danville$|^roanoke$|^waynesboro$|^staunton$|^lynchburg$;FinalNodeRegex:troutville;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,5.0,,,0.0,65.78159809112549,259,93021,1073
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:tallahassee;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,82.85337400436401,280,93021,1052
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:sumter;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,64.81018090248108,301,93021,1031
reachability,Type:reachability;IngressNodeRegex:^lexingtonid33$|^greensboro$;FinalNodeRegex:sparta;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,2.0,,,0.0,66.89742112159729,303,93021,1029
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:savannah;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,74.59546685218811,324,93021,1008
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^sumter$|^rockymountid11$|^chester$|^columbia$|^tallahassee$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:charlotte;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,62.61022710800171,345,93021,987
reachability,Type:reachability;IngressNodeRegex:^greenville$|^spartanburg$;FinalNodeRegex:clemson;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,2.0,,,0.0,52.32008695602417,347,93021,985
reachability,Type:reachability;IngressNodeRegex:^highpoint$;FinalNodeRegex:nodeid84;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,1.0,,,0.0,57.58518695831299,348,93021,984
reachability,Type:reachability;IngressNodeRegex:^andrews$;FinalNodeRegex:youngharris;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,1.0,,,0.0,53.358675718307495,349,93021,983
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^panamacity$;FinalNodeRegex:nodeid86;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,73.24068188667297,370,93021,962
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:nodeid82;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,61.10925269126892,391,93021,941
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:yemassee;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,87.29772615432739,412,93021,920
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:augusta;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,71.11702799797058,433,93021,899
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^savannah$|^macon$|^yemassee$|^atlanta$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:myrtlebeach;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,79.45022916793823,454,93021,878
reachability,Type:reachability;IngressNodeRegex:^rockhill$|^florence$|^nahunta$|^fayetteville$|^montgomery$|^myrtlebeach$|^savannah$|^macon$|^yemassee$|^raleigh$|^charlotte$|^sumter$|^rockymountid11$|^chester$|^tallahassee$|^columbia$|^augusta$|^nodeid82$|^hawkinsville$|^nodeid86$|^panamacity$;FinalNodeRegex:atlanta;FinalIfaceRegex:FastEthernet0/0;Negate:False;MaxFailures:2;Environment:;,correct,21.0,,,0.0,73.77367186546326,475,93021,857
